Attendance,Away,Date,Day,Home,Score,Time,Venue,Half_time,year,Distance,home_win,home_team_form
"5,000",Cagliari,2022-01-16,Sun,AS Roma,1-0,18:00,Stadio Olimpico,(1-0),2022,413.5917654589300,1,0.5
"3,805",Empoli,2022-01-16,Sun,Venezia,1-1,15:00,Stadio Pierluigi Penzo ,(0-1),2022,219.69275121121500,0,0.5
"3,843",Hellas Verona,2022-01-16,Sun,Sassuolo,2-4,12:30,Mapei Stadium - Città del Tricolore,(0-2),2022,83.93781035436990,0,0.5
"5,000",Inter Milan,2022-01-16,Sun,Atalanta,0-0,20:45,Stadio Atleti Azzurri d'Italia,(0-0),2022,50.62272084539420,0,0.5
"5,000",Genoa,2022-01-17,Mon,Fiorentina,6-0,20:45,Stadio Artemio Franchi,(3-0),2022,199.49234412689900,1,0.5
"5,000",Napoli,2022-01-17,Mon,Bologna,0-2,18:30,Stadio Renato Dall'Ara,(0-1),2022,470.6374988983220,0,0.5
"5,000",Spezia,2022-01-17,Mon,AC Milan,1-2,18:30,Stadio Giuseppe Meazza,(1-0),2022,162.32599838976200,0,0.5
"4,286",Bologna,2022-01-21,Fri,Hellas Verona,2-1,20:45,Stadio Marc'Antonio Bentegodi,(1-1),2022,108.211247353509,1,0.5
"4,000",Atalanta,2022-01-22,Sat,Lazio,0-0,20:45,Stadio Olimpico,(0-0),2022,475.0353950263620,0,0.5
"5,000",Udinese,2022-01-22,Sat,Genoa,0-0,15:00,Stadio Comunale Luigi Ferraris,(0-0),2022,381.26174910079500,0,0.5
"5,000",Venezia,2022-01-22,Sat,Inter Milan,2-1,18:00,Stadio Giuseppe Meazza,(1-1),2022,253.69079313953600,1,0.5
"4,920",AS Roma,2022-01-23,Sun,Empoli,2-4,18:00,Stadio Carlo Castellani,(0-4),2022,233.8441331080120,0,0.5
"5,000",Fiorentina,2022-01-23,Sun,Cagliari,1-1,12:30,Unipol Domus,(0-0),2022,539.3545969382540,0,0.5
"5,000",Juventus,2022-01-23,Sun,AC Milan,0-0,20:45,Stadio Giuseppe Meazza,(0-0),2022,123.13402248871500,0,0.5
"3,000",Salernitana,2022-01-23,Sun,Napoli,4-1,15:00,Stadio Diego Armando Maradona,(2-1),2022,56.979361986168900,1,0.5
"5,000",Sampdoria,2022-01-23,Sun,Spezia,1-0,15:00,Stadio Alberto Picco,(0-0),2022,76.77522902512600,1,0.5
"5,000",Sassuolo,2022-01-23,Sun,Torino,1-1,15:00,Stadio Olimpico di Torino,(1-0),2022,239.7679599519900,0,0.5
"37,918",AC Milan,2022-02-05,Sat,Inter Milan,1-2,18:00,Stadio Giuseppe Meazza,(1-0),2022,0,0,0.5
"29,863",Genoa,2022-02-05,Sat,AS Roma,0-0,15:00,Stadio Olimpico,(0-0),2022,396.34249898601200,0,0.5
"17,181",Lazio,2022-02-05,Sat,Fiorentina,0-3,20:45,Stadio Artemio Franchi,(0-0),2022,226.4069458907570,0,0.5
"7,868",Cagliari,2022-02-06,Sun,Atalanta,1-2,12:30,Stadio Atleti Azzurri d'Italia,(0-0),2022,724.4648430005950,0,0.5
"10,349",Empoli,2022-02-06,Sun,Bologna,0-0,15:00,Stadio Renato Dall'Ara,(0-0),2022,89.70399420635500,0,0.5
"17,016",Hellas Verona,2022-02-06,Sun,Juventus,2-0,20:45,Allianz Stadium,(1-0),2022,263.58593725305800,1,0.5
"5,554",Napoli,2022-02-06,Sun,Venezia,0-2,15:00,Stadio Pierluigi Penzo ,(0-0),2022,532.2189412838070,0,0.5
"6,232",Sassuolo,2022-02-06,Sun,Sampdoria,4-0,15:00,Stadio Comunale Luigi Ferraris,(2-0),2022,138.83308293258500,1,0.5
"9,837",Torino,2022-02-06,Sun,Udinese,2-0,18:00,Dacia Arena,(0-0),2022,448.31752025128400,1,0.5
"10,668",Spezia,2022-02-07,Mon,Salernitana,2-2,20:45,Stadio Arechi,(2-2),2022,563.7482739210850,0,0.5
"22,000",Bologna,2022-02-12,Sat,Lazio,3-0,15:00,Stadio Olimpico,(1-0),2022,299.0253331111190,1,0.5
"27,000",Inter Milan,2022-02-12,Sat,Napoli,1-1,18:00,Stadio Diego Armando Maradona,(1-0),2022,660.849346236503,0,0.5
"6,681",Venezia,2022-02-12,Sat,Torino,1-2,20:45,Stadio Olimpico di Torino,(1-1),2022,372.5773703592440,0,0.5
"9,282",AS Roma,2022-02-13,Sun,Sassuolo,2-2,18:00,Mapei Stadium - Città del Tricolore,(0-1),2022,341.8246503722720,0,0.5
"4,787",Cagliari,2022-02-13,Sun,Empoli,1-1,15:00,Stadio Carlo Castellani,(1-0),2022,525.1469592161860,0,0.5
"9,731",Juventus,2022-02-13,Sun,Atalanta,1-1,20:45,Stadio Atleti Azzurri d'Italia,(0-0),2022,173.0084746125310,0,0.5
"13,742",Salernitana,2022-02-13,Sun,Genoa,1-1,15:00,Stadio Comunale Luigi Ferraris,(1-1),2022,638.5576741660540,0,0.5
"35,710",Sampdoria,2022-02-13,Sun,AC Milan,1-0,12:30,Stadio Giuseppe Meazza,(1-0),2022,118.77110409643900,1,0.5
"11,713",Udinese,2022-02-13,Sun,Hellas Verona,4-0,15:00,Stadio Marc'Antonio Bentegodi,(2-0),2022,187.85001575041200,1,0.5
"5,400",Fiorentina,2022-02-14,Mon,Spezia,1-2,20:45,Stadio Alberto Picco,(0-1),2022,123.60110987801500,0,0.5
"20,132",Torino,2022-02-18,Fri,Juventus,1-1,20:45,Allianz Stadium,(1-0),2022,7.56735575287785,0,0.5
"18,449",AC Milan,2022-02-19,Sat,Salernitana,2-2,20:45,Stadio Arechi,(1-1),2022,709.5694423502170,0,0.5
"9,069",Empoli,2022-02-19,Sat,Sampdoria,2-0,15:00,Stadio Comunale Luigi Ferraris,(2-0),2022,177.77793336261200,1,0.5
"34,777",Hellas Verona,2022-02-19,Sat,AS Roma,2-2,18:00,Stadio Olimpico,(0-2),2022,407.0200194793920,0,0.5
"18,056",Atalanta,2022-02-20,Sun,Fiorentina,1-0,12:30,Stadio Artemio Franchi,(0-0),2022,249.01613873809500,1,0.5
"7,566",Genoa,2022-02-20,Sun,Venezia,1-1,15:00,Stadio Pierluigi Penzo ,(1-1),2022,291.8249944553990,0,0.5
"10,799",Lazio,2022-02-20,Sun,Udinese,1-1,20:45,Dacia Arena,(1-1),2022,464.67909792520700,0,0.5
"28,324",Sassuolo,2022-02-20,Sun,Inter Milan,0-2,18:00,Stadio Giuseppe Meazza,(0-2),2022,147.23360435549800,0,0.5
"12,063",Napoli,2022-02-21,Mon,Cagliari,1-1,19:00,Unipol Domus,(0-0),2022,467.8748889163700,0,0.5
"12,050",Spezia,2022-02-21,Mon,Bologna,2-1,21:00,Stadio Renato Dall'Ara,(1-1),2022,127.3975160148910,1,0.5
"14,314",Inter Milan,2022-02-25,Fri,Genoa,0-0,21:00,Stadio Comunale Luigi Ferraris,(0-0),2022,118.77110409643900,0,0.5
"44,588",Udinese,2022-02-25,Fri,AC Milan,1-1,18:45,Stadio Giuseppe Meazza,(1-0),2022,324.1401921212780,0,0.5
"13,289",Bologna,2022-02-26,Sat,Salernitana,1-1,15:00,Stadio Arechi,(0-1),2022,515.4661029138210,0,0.5
"8,952",Fiorentina,2022-02-26,Sat,Sassuolo,2-1,20:45,Mapei Stadium - Città del Tricolore,(1-0),2022,115.41892463717000,1,0.5
"11,890",Juventus,2022-02-26,Sat,Empoli,2-3,18:00,Stadio Carlo Castellani,(1-2),2022,305.35278513235400,0,0.5
"8,107",AS Roma,2022-02-27,Sun,Spezia,0-1,18:05,Stadio Alberto Picco,(0-0),2022,323.2861187529620,0,0.5
"10,231",Cagliari,2022-02-27,Sun,Torino,1-2,12:35,Stadio Olimpico di Torino,(0-1),2022,660.4334677989370,0,0.5
"25,000",Napoli,2022-02-27,Sun,Lazio,1-2,20:50,Stadio Olimpico,(0-0),2022,190.3582363177840,0,0.5
"14,298",Venezia,2022-02-27,Sun,Hellas Verona,3-1,15:05,Stadio Marc'Antonio Bentegodi,(0-0),2022,109.19564550706200,1,0.5
"10,245",Sampdoria,2022-02-28,Mon,Atalanta,4-0,20:50,Stadio Atleti Azzurri d'Italia,(2-0),2022,154.6880908683670,1,0.5
"46,287",Salernitana,2022-03-04,Fri,Inter Milan,5-0,20:45,Stadio Giuseppe Meazza,(2-0),2022,709.5694423502170,1,0.5
"42,303",Atalanta,2022-03-05,Sat,AS Roma,1-0,18:00,Stadio Olimpico,(1-0),2022,475.0353950263620,1,0.5
"10,873",Lazio,2022-03-05,Sat,Cagliari,0-3,20:45,Unipol Domus,(0-2),2022,413.5917654589300,0,0.5
"12,405",Sampdoria,2022-03-05,Sat,Udinese,2-1,15:00,Dacia Arena,(2-1),2022,381.26174910079500,1,0.5
"42,000",AC Milan,2022-03-06,Sun,Napoli,0-1,20:45,Stadio Diego Armando Maradona,(0-0),2022,660.849346236503,0,0.5
"14,935",Empoli,2022-03-06,Sun,Genoa,0-0,12:30,Stadio Comunale Luigi Ferraris,(0-0),2022,177.77793336261200,0,0.5
"23,491",Hellas Verona,2022-03-06,Sun,Fiorentina,1-1,15:00,Stadio Artemio Franchi,(1-1),2022,185.5363832089200,0,0.5
"5,732",Sassuolo,2022-03-06,Sun,Venezia,1-4,15:00,Stadio Pierluigi Penzo ,(1-3),2022,156.54215073191200,0,0.5
"26,475",Spezia,2022-03-06,Sun,Juventus,1-0,18:00,Allianz Stadium,(1-0),2022,205.26728226736200,1,0.5
