Away,Date,Half_time,Home,Score
 Spezia,Sa 1 May,(0-0),Hellas Verona ,1 - 1
 Inter Milan,Sa 1 May,(0-0),Crotone ,0 - 2
 Benevento,Sa 1 May,(1-0),AC Milan ,2 - 0
 Genoa,Su 2 May,(2-0),Lazio ,4 - 3
 Fiorentina,Su 2 May,(1-1),Bologna ,3 - 3
 Cagliari,Su 2 May,(1-0),Napoli ,1 - 1
 Atalanta,Su 2 May,(0-1),Sassuolo ,1 - 1
 Juventus,Su 2 May,(1-0),Udinese ,1 - 2
 AS Roma,Su 2 May,(1-0),Sampdoria ,2 - 0
 Parma,Mo 3 May,(0-0),Torino ,1 - 0
 Napoli,Sa 8 May,(0-3),Spezia ,1 - 4
 Bologna,Sa 8 May,(1-0),Udinese ,1 - 1
 Sampdoria,Sa 8 May,(3-1),Inter Milan ,5 - 1
 Lazio,Sa 8 May,(1-0),Fiorentina ,2 - 0
 Sassuolo,Su 9 May,(0-1),Genoa ,1 - 2
 Cagliari,Su 9 May,(1-1),Benevento ,1 - 3
 Torino,Su 9 May,(0-0),Hellas Verona ,1 - 1
 Atalanta,Su 9 May,(0-1),Parma ,2 - 5
 Crotone,Su 9 May,(0-0),AS Roma ,5 - 0
 AC Milan,Su 9 May,(0-1),Juventus ,0 - 3
 Udinese,Tu 11 May,(2-1),Napoli ,5 - 1
 Fiorentina,We 12 May,(0-0),Cagliari ,0 - 0
 Benevento,We 12 May,(1-0),Atalanta ,2 - 0
 Genoa,We 12 May,(0-1),Bologna ,0 - 2
 AS Roma,We 12 May,(2-1),Inter Milan ,3 - 1
 Parma,We 12 May,(0-0),Lazio ,1 - 0
 Spezia,We 12 May,(1-1),Sampdoria ,2 - 2
 Juventus,We 12 May,(0-2),Sassuolo ,1 - 3
 AC Milan,We 12 May,(0-2),Torino ,0 - 7
 Hellas Verona,Th 13 May,(1-0),Crotone ,2 - 1
 Atalanta,Sa 15 May,(0-3),Genoa ,3 - 4
 Torino,Sa 15 May,(2-0),Spezia ,4 - 1
 Inter Milan,Sa 15 May,(2-1),Juventus ,3 - 2
 Lazio,Sa 15 May,(1-0),AS Roma ,2 - 0
 Napoli,Su 16 May,(0-0),Fiorentina ,0 - 2
 Crotone,Su 16 May,(1-0),Benevento ,1 - 1
 Sampdoria,Su 16 May,(0-0),Udinese ,0 - 1
 Sassuolo,Su 16 May,(1-1),Parma ,1 - 3
 Cagliari,Su 16 May,(0-0),AC Milan ,0 - 0
 Bologna,Mo 17 May,(1-1),Hellas Verona ,2 - 2
 Torino,Tu 18 May,(0-0),Lazio ,0 - 0
 Genoa,Sa 22 May,(0-1),Cagliari ,0 - 1
