Away,Date,Home,Score
SPAL,19/10/11,Udinese,0-0
AS Roma,19/10/11,Parma,2-0
AC Milan,19/10/11,Juventus,1-0
Juventus,19/11/23,Atalanta,1-3
Napoli,19/11/23,AC Milan,1-1
Inter,19/11/23,Torino,0-3
Parma,19/11/24,Bologna,2-2
Fiorentina,19/11/24,Verona,1-0
Brescia,19/11/24,AS Roma,3-0
Lazio,19/11/24,Sassuolo,1-2
Udinese,19/11/24,Sampdoria,2-1
Cagliari,19/11/25,Lecce,2-2
Genoa,19/11/25,SPAL,1-1
Atalanta,19/11/30,Brescia,0-3
Torino,19/11/30,Genoa,0-1
Lecce,19/11/30,Fiorentina,0-1
Sassuolo,19/01/12,Juventus,2-2
SPAL,19/01/12,Inter,2-1
Udinese,19/01/12,Lazio,3-0
AC Milan,19/01/12,Parma,0-1
Bologna,19/01/12,Napoli,1-2
AS Roma,19/01/12,Verona,1-3
Sampdoria,19/02/12,Cagliari,4-3
AS Roma,19/06/12,Inter,0-0
Verona,19/07/12,Atalanta,3-2
Napoli,19/07/12,Udinese,1-1
Juventus,19/07/12,Lazio,3-1
Genoa,19/08/12,Lecce,2-2
Cagliari,19/08/12,Sassuolo,2-2
Brescia,19/08/12,SPAL,0-1
Fiorentina,19/08/12,Torino,2-1
Parma,19/08/12,Sampdoria,0-1
AC Milan,19/08/12,Bologna,2-3
Lecce,19/12/14,Brescia,3-0
Parma,19/12/14,Napoli,1-2
Sampdoria,19/12/14,Genoa,0-1
Torino,19/12/15,Verona,3-3
Atalanta,19/12/15,Bologna,2-1
Sassuolo,19/12/15,AC Milan,0-0
Udinese,19/12/15,Juventus,3-1
SPAL,19/12/15,AS Roma,3-1
Inter,19/12/15,Fiorentina,1-1
Lazio,19/12/16,Cagliari,1-2
Juventus,19/12/18,Sampdoria,1-2
AS Roma,19/12/20,Fiorentina,1-4
Cagliari,19/12/21,Udinese,2-1
Genoa,19/12/21,Inter,4-0
SPAL,19/12/21,Torino,1-2
AC Milan,19/12/22,Atalanta,5-0
Bologna,19/12/22,Lecce,2-3
Brescia,19/12/22,Parma,1-1
Napoli,19/12/22,Sassuolo,1-2
Verona,20/05/02,Lazio,0-0
Lazio,20/05/01,Brescia,1-2
Verona,20/05/01,SPAL,0-2
Sassuolo,20/05/01,Genoa,2-1
Torino,20/05/01,AS Roma,0-2
Fiorentina,20/06/01,Bologna,1-1
Parma,20/06/01,Atalanta,5-0
Sampdoria,20/06/01,AC Milan,0-0
Cagliari,20/06/01,Juventus,4-0
Udinese,20/06/01,Lecce,0-1
Inter,20/06/01,Napoli,1-3
AC Milan,20/11/01,Cagliari,0-2
Napoli,20/11/01,Lazio,1-0
Atalanta,20/11/01,Inter,1-1
Sassuolo,20/12/01,Udinese,3-0
Brescia,20/12/01,Sampdoria,5-1
Bologna,20/12/01,Torino,1-0
SPAL,20/12/01,Fiorentina,1-0
Genoa,20/12/01,Verona,2-1
Juventus,20/12/01,AS Roma,1-2
Lecce,20/01/13,Parma,2-0
Sampdoria,20/01/18,Lazio,5-1
Torino,20/01/18,Sassuolo,2-1
Fiorentina,20/01/18,Napoli,0-2
Udinese,20/01/19,AC Milan,3-2
Verona,20/01/19,Bologna,1-1
Cagliari,20/01/19,Brescia,2-2
Inter,20/01/19,Lecce,1-1
AS Roma,20/01/19,Genoa,1-3
Parma,20/01/19,Juventus,2-1
SPAL,20/01/20,Atalanta,1-2
AC Milan,20/01/24,Brescia,0-1
Bologna,20/01/25,SPAL,1-3
Genoa,20/01/25,Fiorentina,0-0
Atalanta,20/01/25,Torino,0-7
Cagliari,20/01/26,Inter,1-1
Lecce,20/01/26,Verona,3-0
Udinese,20/01/26,Parma,2-0
Sassuolo,20/01/26,Sampdoria,0-0
Lazio,20/01/26,AS Roma,1-1
Juventus,20/01/26,Napoli,2-1
Brescia,20/01/02,Bologna,2-1
Parma,20/01/02,Cagliari,2-2
AS Roma,20/01/02,Sassuolo,4-2
Fiorentina,20/02/02,Juventus,3-0
Genoa,20/02/02,Atalanta,2-2
SPAL,20/02/02,Lazio,5-1
Verona,20/02/02,AC Milan,1-1
Torino,20/02/02,Lecce,4-0
Inter,20/02/02,Udinese,0-2
Napoli,20/03/02,Sampdoria,2-4
Bologna,20/07/02,AS Roma,2-3
Atalanta,20/08/02,Fiorentina,1-2
Sampdoria,20/08/02,Torino,1-3
Juventus,20/08/02,Verona,2-1
Sassuolo,20/09/02,SPAL,1-2
Udinese,20/09/02,Brescia,1-1
Cagliari,20/09/02,Genoa,1-0
Lecce,20/09/02,Napoli,2-3
Lazio,20/09/02,Parma,0-1
AC Milan,20/09/02,Inter,4-2
SPAL,20/02/15,Lecce,2-1
Genoa,20/02/15,Bologna,0-3
AS Roma,20/02/15,Atalanta,2-1
Verona,20/02/16,Udinese,0-0
Fiorentina,20/02/16,Sampdoria,1-5
Parma,20/02/16,Sassuolo,0-1
Brescia,20/02/16,Juventus,2-0
Napoli,20/02/16,Cagliari,0-1
Inter,20/02/16,Lazio,2-1
Torino,20/02/17,AC Milan,1-0
Napoli,20/02/21,Brescia,1-2
Udinese,20/02/22,Bologna,1-1
Juventus,20/02/22,SPAL,1-2
AC Milan,20/02/22,Fiorentina,1-1
Lazio,20/02/23,Genoa,2-3
Lecce,20/02/23,AS Roma,4-0
Parma,20/06/20,Torino,1-1
Cagliari,20/06/20,Verona,2-1
Sassuolo,20/06/21,Atalanta,4-1
Sampdoria,20/06/21,Inter,2-1
Bologna,20/02/29,Lazio,2-0
Torino,20/02/29,Napoli,2-1
Atalanta,20/01/03,Lecce,2-7
AS Roma,20/01/03,Cagliari,3-4
SPAL,20/08/03,Parma,0-1
Genoa,20/08/03,AC Milan,1-2
Verona,20/08/03,Sampdoria,2-1
Fiorentina,20/08/03,Udinese,0-0
Inter,20/08/03,Juventus,2-0
Brescia,20/09/03,Sassuolo,3-0
AC Milan,20/06/22,Lecce,1-4
Brescia,20/06/22,Fiorentina,1-1
Juventus,20/06/22,Bologna,0-2
Napoli,20/06/23,Verona,0-2
Cagliari,20/06/23,SPAL,0-1
Parma,20/06/23,Genoa,1-4
Udinese,20/06/23,Torino,1-0
Sassuolo,20/06/24,Inter,3-3
Lazio,20/06/24,Atalanta,3-2
Sampdoria,20/06/24,AS Roma,2-1
Lecce,20/06/26,Juventus,4-0
Genoa,20/06/27,Brescia,2-2
Torino,20/06/27,Cagliari,4-2
Fiorentina,20/06/27,Lazio,2-1
AS Roma,20/06/28,AC Milan,2-0
SPAL,20/06/28,Napoli,3-1
Bologna,20/06/28,Sampdoria,1-2
Verona,20/06/28,Sassuolo,3-3
Atalanta,20/06/28,Udinese,2-3
Inter,20/06/28,Parma,1-2
Lazio,20/06/30,Torino,1-2
Juventus,20/06/30,Genoa,1-3
Cagliari,20/01/07,Bologna,1-1
Brescia,20/01/07,Inter,6-0
Parma,20/01/07,Verona,3-2
Sampdoria,20/01/07,Lecce,1-2
AC Milan,20/01/07,SPAL,2-2
Sassuolo,20/01/07,Fiorentina,1-3
Napoli,20/02/07,Atalanta,2-0
Udinese,20/02/07,AS Roma,0-2
Torino,20/04/07,Juventus,4-1
Lecce,20/04/07,Sassuolo,4-2
AC Milan,20/04/07,Lazio,0-3
